WarningText_lang,ID,SpellID,OverrideCriticalTimeRemaining,Priority,PlayerConditionID,SoundKitID,Field_10_1_5_50199_007
,2,358434,0,0,0,0,0
,4,388446,2000,1,0,0,0
,5,314124,0,0,0,12197,0
,6,251742,0,0,0,183768,0
,10,394425,0,1,0,0,0
,11,358608,0,0,0,0,0
,12,387623,0,0,0,0,0
,13,395256,3000,1,0,63968,0
,14,396363,4000,0,0,0,0
,19,369192,10000,0,0,0,0
¡La corrosión está por corromper tu mente!,24,407406,5000,0,0,0,0
[DNT] Test Stacks,25,409063,15000,1,0,12202,2
¡La Basura rodante está colapsando!,27,461536,5000,0,0,0,0
¡Tu destino comienza a separarse!,28,1224865,0,0,5793,0,15
¡Pronto ocurrirá una Ola de choque cristalina!,31,1243721,8000,0,0,0,0
¡Pronto ocurrirá un Encierro de cristal!,32,1227373,6000,0,0,0,0
¡Terror de lo desconocido explotará pronto!,34,1225221,3000,0,0,0,0
¡Reshii ascendente está casi agotado!,35,1235114,4000,0,0,0,0
¡A punto de recibir una descarga eléctrica!,39,1246457,0,0,0,0,0
