Name_lang,Description_lang,ID,Flags,Field_12_0_0_63534_004,Field_12_0_0_63534_005,Field_12_0_0_63534_006
Tiger Test NI,"Initiative is used in Unit Testing, Ask Tiger Lu before changing values",1,1,100,0,-1
La meilleure initiative,C’est la meilleure.,6,1,0,90931,0
Test Initiative - Not as good as the last one,"Probablement, du moins.",7,1,0,90934,1
Une excellente initiative,Peut-être pas tant que ça.,9,1,0,90935,0
[DNT] With Regards to Sporeggar,"[DNT] The farmers and cultivators of the Neighborhood are struggling to produce good soil for this seasons crop rotation. Sympathetic to their plight, the Cenarion Circle has recommended reaching out to a small farming village on the outskirts of Zangarmarsh...",10,1,0,90973,0
[DNT] Deeperholm,[DNT] The Earthen residents of the neighborhood have remarked that the indigenous elementals that roam the outer neighborhood could potentially be good allies if approached carefully. They advise seeking the counsel of Therazane in Deepholm for assistance.,11,1,0,90973,0
Culture de la bougie,D’étranges gisements de cire sont apparus aux quatre coins du quartier. Qui seraient mieux placés que les Kobolds des abîmes Retentissants pour savoir quoi en faire ? Demandez-leur conseil sur les différentes techniques d’éclairage.,12,0,0,91278,0
Amitié avec les grumelots,"Entretenir une maison, c’est du travail ! Tout le monde aurait bien besoin d’un petit remontant. C’est pourquoi nous avons contacté les grumelots de Kun-Lai, qui préparent une boisson spéciale appelée kafa pour vous redonner la pêche.",13,0,0,91362,0
[DNT] Holm Sweet Holm,[DNT] The Earthen residents of the neighborhood have remarked that the indigenous elementals that roam the outer neighborhood could potentially be good allies if approached carefully. They advise seeking the counsel of Therazane in Deepholm for assistance.,14,1,0,91396,0
Aide artistique,"Une communauté artistique d’Elfes de sang a trouvé refuge dans le quartier alors que son foyer est assiégé, et souhaite partager son talent avec le voisinage.",15,0,0,91633,0
Au-delà des limites du possible,Les Dracthyrs ont récemment retrouvé leur identité et ont choisi leur propre voie. Leur soif d’apprendre motivera le voisinage à maîtriser de nouveaux métiers.,16,0,0,92151,0
Mécanisation modérée,Les Mécagnomes de l’île de Mécagone sont là pour aider le quartier en matière d’améliorations technologiques.,17,0,0,92687,0
Consternation du Consortium,Le Consortium aide les habitants et habitantes du quartier à récupérer les objets perdus dans la chambre du Vide.,18,0,0,93941,0
Senteurs sensationnelles,"Le peuple flairan est là pour résoudre des problèmes de pollinisation. Ensemble, vous pouvez faire prospérer la flore du quartier.",19,0,0,94009,0
Le meilleur ami des Maruuks,"Les habitants du quartier adorent leurs mascottes, mais ils ont besoin d’aide pour les dresser. Les Maruuks des plaines d’Ohn’ahra ont tissé des liens très forts avec leurs bakars et accepteraient peut-être de partager certaines de leurs astuces.",20,0,0,95174,0
Amani de pacotille,"Eskrokar et sa troupe de marchands itinérants sont de passage dans le quartier et font étalage de leur « marchandise amani traditionnelle ». Il s’agit bien évidemment de contrefaçon, mais quelle beauté !",22,0,0,95334,0
Période de vacances,"Il va sans dire que les Tortollans ont vu du pays. Tellement, qu’ils n’ont même pas besoin d’être accueillis – ils passaient leurs vacances dans votre quartier bien avant que vous ne vous y installiez ! Écoutez leurs conseils en matière de loisirs.",24,0,0,96734,0
